nome,latitudine,longitudine,n__arch_,utd,regione,provincia,comune,corso_d_acqua,tipologia,altezza_ndt_2014__m_,altezza_dm_marzo_82__m_,vol__di_invaso__Mmc_,quota_max_di_reg___m_slm_,uso_prevalente,anno_inizio_lavori,anno_fine_lavori,indirizzo_google_maps
Agnel,45.469207,7.140029,0356_,Torino,Piemonte,TO,Ceresole Reale,Rossetto,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),18.00,19.00,2.14,,Idroelettrico,1936,1938,https://goo.gl/maps/crm4icYywwmnDR1n6
Castello,44.612704,7.048976,0359A,Torino,Piemonte,CN,Pontechianale,Varaita di Chianale,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),70.00,78.00,11.42,,Idroelettrico,1936,1942,https://goo.gl/maps/6KJG7tL7ZL5X3czE8
Sampeyre,44.575282,7.195228,0359B,Torino,Piemonte,CN,Sampeyre,Varaita,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),19.00,19.80,0.15,930.15,Idroelettrico,1937,1939,https://goo.gl/maps/sVZunRiauC9752RD8
Osiglietta,44.310351,8.197560,0364_,Torino,Liguria,SV,Osiglia,Osiglietta,A cupola (a.2.3.),70.70,76.79,13.30,637.00,Idroelettrico,1937,1939,https://goo.gl/maps/N17ZEyD9kdJjzNyM6
Miorina [Lago Maggiore],45.706058,8.653357,0368_,Torino,Lombardia,VA,Castelletto sopra Ticino - Golasecca,Ticino,Traversa in calcestruzzo (c.),7.90,10.90,580.00,194.50,Irriguo,1938,1942,https://goo.gl/maps/99P9ZrtWhMZaMctn7
Perreres,45.905658,7.615287,0397_,Torino,Valle D'Aosta,AO,Valtournenche,Marmore,A gravità ordinaria in calcestruzzo (a.1.1.),22.75,24.35,0.70,,Idroelettrico,1939,1941,https://goo.gl/maps/KS2wjQ6vue7eQjM17
Bardello,45.835247,8.702252,0400_,Torino,Lombardia,VA,Bardello,Bardello (Emissario Lago Varese),Traversa in calcestruzzo (c.),2.90,3.90,22.37,238.28,Plurimo,1927,1931,https://goo.gl/maps/YW2Vnd5GJbrRqLeF9
Beauregard,45.618345,7.059225,0410_,Torino,Valle D'Aosta,AO,Valgrisenche,Dora di Valgrisenche,Ad arco gravità (a.2.2.),55.00,80.00,5.56,,Idroelettrico,1950,1960,https://goo.gl/maps/Hvzyas3B4fm7XzyH8
Sessera,45.701098,8.090422,0435_,Torino,Piemonte,BI,Vallanzengo,Sessera,A cupola (a.2.3.),41.00,44.00,1.65,924.00,Idroelettrico,1959,1960,https://goo.gl/maps/XaqkzaRCXPV3iuzSA
Sabbione,46.422797,8.347891,0468_,Torino,Piemonte,VB,Formazza,Rio Sabbione,A gravità a speroni con vani interni (a.1.2.),61.00,63.60,44.11,,Idroelettrico,1949,1953,https://goo.gl/maps/P481QxiPg9SG29yaA
Serru',45.461806,7.133518,0525_,Torino,Piemonte,TO,Ceresole Reale,Orco,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),41.50,43.00,14.49,,Idroelettrico,1946,1951,https://goo.gl/maps/4mk2sjNCU2mgrcb46
Ostola,45.610794,8.215180,0547_,Torino,Piemonte,BI,Masserano,Ostola,A gravità ordinaria in calcestruzzo (a.1.1.),36.20,37.20,5.50,328.19,Irriguo,1971,1977,https://goo.gl/maps/hAbmcYapDZVM3HHU6
Valsoera,45.488139,7.395120,0627_,Torino,Piemonte,TO,Locana,Balma,Ad arco gravità (a.2.2.),44.00,54.00,7.77,,Idroelettrico,1949,1954,https://goo.gl/maps/mqQpJY9Y5W6gmtmu5
Figoi,44.443137,8.872682,0637_,Torino,Liguria,GE,Genova,Rio Burlo,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),19.00,19.00,0.30,129.46,Nessun utilizzo attuale,,,https://goo.gl/maps/j4J5Q7RntB6QwGGB9
Galano,44.446201,8.874349,0637A,Torino,Liguria,GE,Genova,Rio Galano,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),20.00,20.00,0.30,138.71,Nessun utilizzo attuale,,,https://goo.gl/maps/JYTdPfVrkLkcXjcr6
Porto della Torre,45.675985,8.670660,0638_,Torino,Lombardia,VA,Somma Lombardo,Ticino,Traversa in calcestruzzo (c.),11.40,13.90,5.70,192.50,Idroelettrico,1951,1954,https://goo.gl/maps/Kj2BPMhTYGD1BFni6
Quarazza,45.954267,7.987295,0639_,Torino,Piemonte,VB,Macugnaga,Quarazza,Ad arco semplice (a.2.2.),20.78,22.34,0.12,,Idroelettrico,1952,1953,https://goo.gl/maps/MR3ZXjrcBQoV33Nm8
Ponte Vittorio,45.639470,8.083483,0643_,Torino,Piemonte,BI,Camandona,Strona,A gravità a speroni con vani interni (a.1.2.),36.00,38.00,0.53,708.00,Industriale,1953,1955,https://goo.gl/maps/YaSDQbh6Fodbqn7H6
Fedio,44.327995,7.268934,0648_,Torino,Piemonte,CN,Demonte,Kant,A gravità ordinaria in calcestruzzo (a.1.1.),21.00,26.00,0.80,926.00,Idroelettrico,1951,1954,https://goo.gl/maps/hUxqzoHtpp7LMD37A
Piantelessio,45.484377,7.369781,0661_,Torino,Piemonte,TO,Locana,Piantonetto,Ad arco gravità (a.2.2.),79.00,80.00,23.00,,Idroelettrico,1951,1956,https://goo.gl/maps/45u58pNt2cPp7t8DA
Rio Freddo,44.281291,7.172015,0672_,Torino,Piemonte,CN,Vinadio,Rio Freddo,Ad arco semplice (a.2.2.),33.00,42.75,0.35,,Idroelettrico,1954,1956,https://goo.gl/maps/UgNamiu7jGPEjtpa6
Tenarda,43.982313,7.698139,0721_,Torino,Liguria,IM,Triora - Pigna,Arme,A gravità ordinaria in calcestruzzo (a.1.1.),29.60,33.60,1.46,,Potabile,1958,1959,https://goo.gl/maps/DRaKr6VdpVS23h1y7
Lago Eugio,45.459908,7.443723,0734_,Torino,Piemonte,TO,Ribordone,Eugio,A gravità a speroni pieni (a.1.2.),48.50,55.50,4.95,,Idroelettrico,1956,1959,https://goo.gl/maps/YA5WBiXNf7udttuZ7
Lago Eugio 2,45.459453,7.440929,0734A,Torino,Piemonte,TO,Ribordone,Eugio,A gravità ordinaria in calcestruzzo (a.1.1.),17.19,17.19,4.95,,Idroelettrico,1956,1959,https://goo.gl/maps/KQWuYMvcv6SnHKfL7
Roccasparvera,44.340759,7.440036,0767_,Torino,Piemonte,CN,Roccasparvera,Stura di Demonte,A gravità ordinaria in calcestruzzo (a.1.1.),25.50,31.10,0.53,623.50,Idroelettrico,1957,1958,https://goo.gl/maps/nN95vYqSP8vFGhLw5
Pianfei,44.347564,7.709069,0906_,Torino,Piemonte,CN,Pianfei,Rio Bealerotto Mussi,Di terra omogenea (b.1.),20.50,22.50,0.54,566.20,Irriguo,1963,1964,https://goo.gl/maps/UgX1bfjjDFiCJLzu8
Busalletta,44.568352,8.923815,1046_,Torino,Liguria,GE,Busalla,Busalletta,A gravità ordinaria in calcestruzzo (a.1.1.),49.14,60.14,4.58,442.00,Potabile,1971,1976,https://goo.gl/maps/edkQ2qch2xRtDH7G8
Val Clarea,45.138883,6.964231,1091B,Torino,Piemonte,TO,Giaglione,Clarea,Di pietrame con manto (b.3.),30.00,30.00,0.59,,Idroelettrico,1997,2004,https://goo.gl/maps/snYnmWdRJyN47FBk6
Gorge di Susa,45.136959,7.032842,1091C,Torino,Piemonte,TO,Susa,Dora Riparia,Ad arco gravità (a.2.2.),30.75,51.25,0.47,531.20,Idroelettrico,1999,2004,https://goo.gl/maps/a3shHPhohgCu2g376
Piastra,44.225724,7.390226,1143_,Torino,Piemonte,CN,Entracque,Gesso,A gravità ordinaria in calcestruzzo (a.1.1.),87.00,87.00,11.92,956.00,Idroelettrico,1962,1964,https://goo.gl/maps/UXqeU9BbufCVwEEA7
Rossana,44.741211,7.293674,1303_,Torino,Piemonte,CN,Bagnolo Piemonte,Rio Balangero,Di terra omogenea (b.1.),25.26,27.00,0.50,510.50,Irriguo,1971,1972,https://goo.gl/maps/Z16yW3opwC2mfsYT7
Lago Delio Nord,46.081996,8.755649,1331_,Torino,Lombardia,VA,Tronzano Lago Maggiore - Maccagno,Molinera e Casmera,A gravità ordinaria in calcestruzzo (a.1.1.),26.60,28.50,7.90,944.50,Idroelettrico,1969,1973,https://goo.gl/maps/ZPJ6endXsybEqm3X8
Lago Delio Sud,46.073495,8.751988,1331A,Torino,Lombardia,VA,Maccagno,Casmera,A gravità ordinaria in calcestruzzo (a.1.1.),31.50,36.00,7.90,944.50,Idroelettrico,1969,1973,https://goo.gl/maps/QNJMHJdnGAnE1gEQ6
Chiotas,44.169459,7.332194,1371_,Torino,Piemonte,CN,Entracque,Bucera,Ad arco gravità (a.2.2.),120.00,130.00,30.18,,Idroelettrico,1970,1981,https://goo.gl/maps/Y38pYiYBL3oCtddH9
Colle Laura,44.167656,7.335896,1371A,Torino,Piemonte,CN,Entracque,Bucera,A gravità ordinaria in calcestruzzo (a.1.1.),22.25,30.00,30.18,,Idroelettrico,1970,1981,https://goo.gl/maps/ns9MX5kS3kQuqswdA
Ravasanella,45.630533,8.264088,1417_,Torino,Piemonte,VC,Roasio,Ravasanella,A gravità ordinaria in calcestruzzo (a.1.1.),44.70,52.70,4.50,350.50,Irriguo,1975,1992,https://goo.gl/maps/su8oCuk5TLZyDe5J8
Ingagna,45.530604,7.984923,1527_,Torino,Piemonte,BI,Mongrando,Ingagna,A gravità ordinaria in calcestruzzo (a.1.1.),54.20,55.54,7.00,389.50,Irriguo,1979,1991,https://goo.gl/maps/KopznUJ766UhyfKe7
Felizzano (dati a fine lavori),44.888256,8.434713,1743_,Torino,Piemonte,AL,Felizzano - Masio,Tanaro,Traversa in calcestruzzo (c.),2.55,3.30,1.30,96.90,Irriguo,1853,,https://goo.gl/maps/YZgPnFfehKBpmvTD8
Zolezzi,44.437943,9.411783,1798_,Torino,Liguria,GE,Borzonasca,Penna,Ad arco semplice (a.2.2.),22.00,23.00,0.60,352.00,Idroelettrico,1922,1923,https://goo.gl/maps/5rrqgzho22nRsTBT8
Traversa Lanza,45.138057,8.416337,1845_,Torino,Piemonte,AL,Casale Monferrato,Po,Traversa in muratura di pietrame con malta (c.),5.90,,1.70,113.20,Irriguo,1873,1874,https://goo.gl/maps/d4YKMo54nPijSeSF7
Ponte Serra,46.031721,11.762806,0057_,Venezia,Veneto,BL,Sovramonte,Cismon,Ad arco semplice (a.2.2.),34.75,44.39,0.18,379.25,Idroelettrico,1907,1909,https://goo.gl/maps/gxLt79EbUdgVmozo6
Crosis,46.238022,13.230116,0058_,Venezia,Friuli Venezia Giulia,UD,Tarcento,Torre,Ad arco gravità (a.2.2.),36.00,40.57,0.20,268.82,Idroelettrico,1898,1901,https://goo.gl/maps/jTYYc4eQGERBSKA28
Alba,46.434634,13.215808,0059_,Venezia,Friuli Venezia Giulia,UD,Moggio Udinese,Alba,A gravità ordinaria in calcestruzzo (a.1.1.),22.00,24.50,0.20,616.50,Idroelettrico,1923,1925,https://goo.gl/maps/9Gwske9hrJDjRVNK9
Lago delle Piazze,46.149702,11.274218,0110_,Venezia,Trentino Alto Adige,TN,Baselga di Pine',Torrente Silla,In muratura di pietrame a secco (b.3.),12.50,15.00,3.75,,Idroelettrico,1925,1926,https://goo.gl/maps/Ze5s4PsQFM97QdQq9
Tul,46.216833,12.895417,0120_,Venezia,Friuli Venezia Giulia,PN,Clauzetto,Cosa,Ad arco semplice (a.2.2.),26.00,39.50,0.21,268.10,Idroelettrico,1948,1949,https://goo.gl/maps/FmoioJ5X7fiqt12L9
Mollaro,46.293979,11.064297,0137_,Venezia,Trentino Alto Adige,TN,Taio - Nanno,Noce,A gravità ordinaria in calcestruzzo (a.1.1.),36.60,42.00,2.15,348.00,Idroelettrico,1926,1930,https://goo.gl/maps/vcE5aUdS7gsmdb7DA
Santa Giustina,46.346073,11.061452,0172_,Venezia,Trentino Alto Adige,TN,Tassullo,Noce,Ad arco semplice (a.2.2.),147.50,152.50,182.81,530.00,Idroelettrico,1940,1951,https://goo.gl/maps/bP4nKGCffQotcvBd6
Careser,46.424745,10.699358,0191_,Venezia,Trentino Alto Adige,TN,Peio,Careser,A gravità ordinaria in calcestruzzo (a.1.1.),57.89,66.00,15.58,,Idroelettrico,1929,1934,https://goo.gl/maps/tyY8oeQcPkKwzW9a8
Santa Caterina,46.539077,12.462757,0265A,Venezia,Veneto,BL,Auronzo di Cadore,Ansiei,A gravità ordinaria in calcestruzzo (a.1.1.),50.00,58.50,6.25,826.21,Idroelettrico,1930,1931,https://goo.gl/maps/qN8WW3zjGrbt8SMr6
Comelico,46.530434,12.486562,0265B,Venezia,Veneto,BL,Vigo di Cadore - Auronzo di Cadore,Piave,A cupola (a.2.3.),44.50,66.50,1.22,826.21,Idroelettrico,1929,1931,https://goo.gl/maps/x55JASs2nAZCwVVc7
Forte Buso,46.304609,11.703193,0292_,Venezia,Trentino Alto Adige,TN,Predazzo,Travignolo,Ad arco gravità (a.2.2.),105.00,110.00,32.10,,Idroelettrico,1950,1952,https://goo.gl/maps/zHqsj2soruS9uf6h9
Mis,46.161034,12.082754,0306_,Venezia,Veneto,BL,Sospirolo,Mis,A cupola (a.2.3.),71.00,91.00,36.70,427.00,Idroelettrico,1959,1962,https://goo.gl/maps/r5hStRpcXw46Cs718
Ponte Racli,46.240392,12.750713,0331_,Venezia,Friuli Venezia Giulia,PN,Meduno,Meduna,A cupola (a.2.3.),50.60,75.34,25.00,313.00,Idroelettrico,1948,1951,https://goo.gl/maps/fF51wHhLpSPEioVa9
Barcis,46.187666,12.575006,0342_,Venezia,Friuli Venezia Giulia,PN,Barcis,Cellina,A cupola (a.2.3.),48.75,50.00,13.59,402.00,Idroelettrico,1952,1955,https://goo.gl/maps/BbCR1WiuzC4mJKkD7
Bastia,46.132206,12.329695,0354_,Venezia,Veneto,BL,Ponte nelle Alpi,Tesa,Di terra omogenea (b.1.),10.69,10.80,40.00,386.00,Idroelettrico,1926,1929,https://goo.gl/maps/KicDg6mj96vB3XVY9
Vajont,46.267369,12.329227,0357_,Venezia,Friuli Venezia Giulia,PN,Erto e Casso,Vajont,A cupola (a.2.3.),255.50,261.60,0.71,722.50,Plurimo,1958,1960,https://goo.gl/maps/WWRHv1Pmg68vaxFs8
San Valentino,46.774256,10.531536,0376_,Venezia,Trentino Alto Adige,BZ,Curon Venosta,Adige,Di terra e/o pietrame con nucleo verticale (b.2.),28.57,31.80,112.00,,Idroelettrico,1940,1950,https://goo.gl/maps/y6pQNTLyNGLu2qHH8
Fortezza,46.778142,11.631974,0387A,Venezia,Trentino Alto Adige,BZ,Fortezza,Isarco,A cupola (a.2.3.),61.79,63.50,3.35,722.50,Idroelettrico,1939,1940,https://goo.gl/maps/9nnKyFyPvrGUvyru8
Rio di Pusteria,46.796315,11.670765,0387B,Venezia,Trentino Alto Adige,BZ,Rio di Pusteria,Rienza,A gravità ordinaria in calcestruzzo (a.1.1.),24.00,31.00,1.77,723.00,Idroelettrico,1938,1940,https://goo.gl/maps/CcpaoyPs7fSpVWHeA
Ponte Ghirlo,46.344012,11.973257,0388_,Venezia,Veneto,BL,Cencenighe Agordino,Cordevole,A gravità ordinaria in calcestruzzo (a.1.1.),20.23,24.44,0.17,751.00,Idroelettrico,1938,1939,https://goo.gl/maps/2RjNFstnjRSVYubc6
Fedaia,46.460489,11.864272,0395_,Venezia,Trentino Alto Adige,TN,Canazei,Avisio,A gravità a speroni pieni (a.1.2.),63.89,65.90,16.69,,Idroelettrico,1952,1955,https://goo.gl/maps/4e9bbMYi9hDh1eaz5
Maria al Lago,46.455419,11.880910,0395A,Venezia,Trentino Alto Adige,TN,Canazei,Avisio,Di terra con manto (b.3.),17.50,18.00,16.69,,Idroelettrico,1952,1955,https://goo.gl/maps/c5FkCNbjPuypAbDc6
Costabrunella,46.132285,11.584954,0405_,Venezia,Trentino Alto Adige,TN,Pieve Tesino,Rio Costabrunella,A gravità ordinaria in calcestruzzo (a.1.1.),21.85,22.50,2.40,,Idroelettrico,1941,1942,https://goo.gl/maps/1JrFACyoiQ4qQwsh6
Cavia,46.359951,11.818677,0425_,Venezia,Veneto,BL,Falcade,Biois,A gravità ordinaria in calcestruzzo (a.1.1.),24.30,24.30,2.50,,Idroelettrico,1942,1948,https://goo.gl/maps/vzjC3H1mzSwgXnUq8
Pieve di Cadore,46.422635,12.387566,0458_,Venezia,Veneto,BL,Pieve di Cadore,Piave,Ad arco gravità (a.2.2.),108.00,112.00,67.50,683.50,Idroelettrico,1946,1950,https://goo.gl/maps/RDMktNfpv3GXAZSJ7
Lumiei,46.448095,12.736073,0459_,Venezia,Friuli Venezia Giulia,UD,Sauris - Ampezzo,Lumiei,A cupola (a.2.3.),128.00,136.15,73.00,980.00,Idroelettrico,1941,1947,https://goo.gl/maps/KTWqfc3mqVGeH8vXA
Val d'Auna,46.551541,11.398334,0462_,Venezia,Trentino Alto Adige,BZ,Renon,D'Auna,Ad arco gravità (a.2.2.),52.00,57.14,0.42,916.00,Idroelettrico,1951,1952,https://goo.gl/maps/pmN9sss4SJaHqXvu6
Pian Palu',46.337084,10.613004,0506_,Venezia,Trentino Alto Adige,TN,Peio,Noce,In blocchi di calcestruzzo (a.1.1.),51.50,53.00,15.51,,Idroelettrico,1950,1959,https://goo.gl/maps/cmJy64RyfokeyHbd7
Pra da Stua,45.772141,10.903185,0512_,Venezia,Trentino Alto Adige,TN,Brentonico - Avio,Aviana Nord,Ad arco gravità (a.2.2.),35.00,42.86,1.50,,Idroelettrico,1951,1951,https://goo.gl/maps/rg1TQDY2z9i36M9L8
Vernago,46.732315,10.847610,0535_,Venezia,Trentino Alto Adige,BZ,Senales,Senales,Di terra e/o pietrame con nucleo verticale (b.2.),64.00,65.00,43.93,,Idroelettrico,1962,1966,https://goo.gl/maps/7CCzVqeQDrbBzTuR6
Alborelo,46.567634,11.067443,0574_,Venezia,Trentino Alto Adige,BZ,San Pancrazio,Valsura,A gravità ordinaria in calcestruzzo (a.1.1.),55.50,58.00,3.30,808.50,Idroelettrico,1953,1954,https://goo.gl/maps/pzBAhKqYjfUMbF6W7
Val Gallina,46.218188,12.333378,0575_,Venezia,Veneto,BL,Soverzene,Gallina,A cupola (a.2.3.),89.90,92.37,5.43,677.00,Idroelettrico,1948,1952,https://goo.gl/maps/vPB2zEfZ8k7vZeTX9
Pontesei,46.336055,12.227147,0576_,Venezia,Veneto,BL,Forno di Zoldo,Mae',A cupola (a.2.3.),87.00,93.00,3.57,775.00,Idroelettrico,1955,1960,https://goo.gl/maps/eyYmC8a5LEH6phKc6
Senaiga,46.026489,11.758451,0592_,Venezia,Veneto,BL,Lamon,Senaiga,A cupola (a.2.3.),64.00,68.00,6.95,402.00,Idroelettrico,1951,1955,https://goo.gl/maps/nYJ7NampwDxf4jLc6
Valle di Cadore,46.411480,12.319754,0605_,Venezia,Veneto,BL,Valle di Cadore,Boite,A cupola (a.2.3.),60.75,61.25,4.92,706.50,Idroelettrico,1949,1951,https://goo.gl/maps/Ge2XeHMzQ2E8s9hh9
La Stua,46.129894,11.947662,0608_,Venezia,Veneto,BL,Cesiomaggiore,Caorame,A gravità ordinaria in calcestruzzo (a.1.1.),54.29,60.29,3.50,690.00,Idroelettrico,1952,1953,https://goo.gl/maps/5BMFAnT6jFABREdu6
Pezze' di Moena,46.384031,11.664122,0611_,Venezia,Trentino Alto Adige,TN,Moena,Avisio,Ad arco semplice (a.2.2.),26.50,28.30,0.46,,Idroelettrico,1949,1951,https://goo.gl/maps/NUw5Wdnnc56D4Fpy9
Novarza,46.460722,12.766687,0628_,Venezia,Friuli Venezia Giulia,UD,Sauris,Novarza,Ad arco semplice (a.2.2.),26.46,38.75,0.20,997.64,Idroelettrico,1943,1947,https://goo.gl/maps/qx983Tt6QaVEQDPJ6
Corlo,45.936944,11.747778,0629_,Venezia,Veneto,BL,Arsie',Cismon,A cupola (a.2.3.),71.00,71.00,48.79,268.00,Idroelettrico,1951,1954,https://goo.gl/maps/ei6x4QVYfipVpkMb9
Stramentizzo,46.263949,11.373407,0633_,Venezia,Trentino Alto Adige,TN,Castello-Molina di Fiemme - Anterivo,Avisio,A cupola (a.2.3.),63.50,63.50,11.50,787.00,Idroelettrico,1954,1956,https://goo.gl/maps/PMvc86fwbHzL5pZF6
Zoccolo,46.539790,10.991383,0647_,Venezia,Trentino Alto Adige,BZ,Ultimo,Valsura,Di terra con manto (b.3.),63.50,66.50,33.50,,Idroelettrico,1961,1965,https://goo.gl/maps/h3mocf1Uc8WAkC576
Leda,45.773636,11.418177,0652_,Venezia,Veneto,VI,Piovene Rocchette,Astico,A gravità ordinaria in calcestruzzo (a.1.1.),18.19,20.69,0.35,230.00,Idroelettrico,1957,1958,https://goo.gl/maps/gBbsn4RmXho3zPcz6
Gioveretto,46.510034,10.728246,0666_,Venezia,Trentino Alto Adige,BZ,Martello,Plima,A gravità a speroni pieni (a.1.2.),81.40,82.00,19.98,,Idroelettrico,1950,1956,https://goo.gl/maps/BrakYcTVu3Q5hddB7
Ambiesta,46.380425,12.983140,0697_,Venezia,Friuli Venezia Giulia,UD,Verzegnis,Ambiesta,A cupola (a.2.3.),57.00,59.22,3.89,484.00,Idroelettrico,1954,1959,https://goo.gl/maps/VGPcviCKeu6Sb43NA
Speccheri,45.765308,11.135468,0705_,Venezia,Trentino Alto Adige,TN,Vallarsa,Leno Vallarsa,A cupola (a.2.3.),103.84,146.84,10.17,804.70,Idroelettrico,1955,1957,https://goo.gl/maps/zn2ucU2QeGHEQpF38
Val Noana,46.138541,11.839019,0712_,Venezia,Trentino Alto Adige,TN,Mezzano,Noana,A cupola (a.2.3.),126.00,126.00,10.89,,Idroelettrico,1956,1959,https://goo.gl/maps/G6tLu2ySwRvHiUsDA
Monguelfo,46.760362,12.054522,0749_,Venezia,Trentino Alto Adige,BZ,Valdaora,Rienza,A cupola (a.2.3.),35.00,51.00,6.90,,Idroelettrico,1957,1958,https://goo.gl/maps/BLgfUEbP6ixGMz6DA
Busa,45.779708,11.113868,0815_,Venezia,Trentino Alto Adige,TN,Vallarsa,Leno Vallarsa,Ad arco semplice (a.2.2.),25.50,26.50,0.27,588.00,Idroelettrico,1957,1958,https://goo.gl/maps/mHkbAexAyJGeX4wQ9
Lago Verde,46.479605,10.799441,0821_,Venezia,Trentino Alto Adige,BZ,Ultimo,Rio Lago Verde,Di pietrame con manto (b.3.),86.50,86.50,7.20,,Idroelettrico,1959,1967,https://goo.gl/maps/VKPDNtfMyRt6GQRz6
Val Schener,46.105599,11.771238,0823_,Venezia,Veneto,BL,Sovramonte,Cismon,A cupola (a.2.3.),68.00,73.40,8.50,565.00,Idroelettrico,1960,1963,https://goo.gl/maps/M9Ru9JBNaqP9C57i8
Lago della Muta,46.741538,10.531919,0865_,Venezia,Trentino Alto Adige,BZ,Curon Venosta,Adige,Traversa in calcestruzzo (c.),6.60,9.60,1.58,,Idroelettrico,1960,1960,https://goo.gl/maps/8m6ejCiytMLuAmTs5
Vodo,46.417823,12.241082,0867_,Venezia,Veneto,BL,Vodo Cadore,Boite,A cupola (a.2.3.),40.00,42.00,1.39,855.00,Idroelettrico,1959,1960,https://goo.gl/maps/KePYe3BENhAHZDbV9
Fontana Bianca Nord,46.486841,10.833354,0932_,Venezia,Trentino Alto Adige,BZ,Ultimo,Valsura,Di terra e/o pietrame con nucleo inclinato (b.2.),20.50,22.50,1.48,,Idroelettrico,1957,1959,https://goo.gl/maps/pKwfr7rK7fWPRbB26
Fontana Bianca Sud,46.484732,10.835832,0932A,Venezia,Trentino Alto Adige,BZ,Ultimo,Valsura,Di terra e/o pietrame con nucleo inclinato (b.2.),13.80,15.00,1.48,,Idroelettrico,1957,1959,https://goo.gl/maps/b4xYJai7ajFbfSDLA
Cà Selva,46.260000,12.699444,0948_,Venezia,Friuli Venezia Giulia,PN,Tramonti di Sopra,Silisia,Ad arco gravità (a.2.2.),99.00,111.00,42.00,495.00,Idroelettrico,1960,1963,https://goo.gl/maps/9oZA9i3SZ1rNKdHH7
Neves,46.941347,11.785396,1061_,Venezia,Trentino Alto Adige,BZ,Selva dei Molini,Rio Evis,A cupola (a.2.3.),87.65,94.65,14.46,,Idroelettrico,1962,1974,https://goo.gl/maps/4Pd4jGc952BBwZtH7
Cà Zul,46.292218,12.715197,1152_,Venezia,Friuli Venezia Giulia,PN,Tramonti di Sopra,Meduna,A cupola (a.2.3.),68.00,69.50,9.80,596.00,Idroelettrico,1962,1965,https://goo.gl/maps/kA3xhK7BC6mnNB8t8
Quaira della Miniera,46.550092,10.893706,1186_,Venezia,Trentino Alto Adige,BZ,Ultimo,Rio Pracomune,A gravità ordinaria in calcestruzzo (a.1.1.),81.00,85.34,12.80,,Idroelettrico,1965,1968,https://goo.gl/maps/4sCoEhsdWFd5STj18
San Colombano,45.875093,11.065045,1234_,Venezia,Trentino Alto Adige,TN,Vallarsa - Trambileno,Leno Vallarsa,A cupola (a.2.3.),37.00,41.00,2.12,280.00,Idroelettrico,1963,1965,https://goo.gl/maps/NNLXb8Zzsq3ntzEfA
Ravedis,46.171814,12.656449,1506_,Venezia,Friuli Venezia Giulia,PN,Montereale Valcellina,Cellina,A gravità ordinaria in calcestruzzo (a.1.1.),68.00,95.00,22.60,338.50,Laminazione,1984,2007,https://goo.gl/maps/WNYLX7X2xSH4fRm16
Kniepass,46.788728,11.873238,1655_,Venezia,Trentino Alto Adige,BZ,San Lorenzo di Sebato,Rienza,Traversa in calcestruzzo (c.),21.19,24.00,0.45,797.79,Idroelettrico,1987,1991,https://goo.gl/maps/CYwjK8Pb1aZDUzk57
Pramper,46.326794,12.166975,1788_,Venezia,Veneto,BL,Forno di Zoldo,Pramper,Di terra con manto (b.3.),18.00,18.00,0.40,,Idroelettrico,1957,1958,https://goo.gl/maps/2dRnruhRFNAyArDU7
