nome,latitudine,longitudine,n__arch_,utd,regione,provincia,comune,corso_d_acqua,tipologia,altezza_ndt_2014__m_,altezza_dm_marzo_82__m_,vol__di_invaso__Mmc_,quota_max_di_reg___m_slm_,uso_prevalente,anno_inizio_lavori,anno_fine_lavori,indirizzo_google_maps
Pignola,40.594107,15.753701,1372_,Napoli,Basilicata,PZ,Pignola,Tora,Di terra con manto (b.3.),7.45,9.19,5.50,768.60,Industriale,1971,1981,https://goo.gl/maps/LAqxaw6wfeqJaVTAA
Campolattaro,41.296139,14.736358,1391_,Napoli,Campania,BN,Campolattaro,Tammaro,Di terra e/o pietrame con nucleo verticale (b.2.),49.39,63.29,125.00,377.25,Irriguo,1981,1993,https://goo.gl/maps/WUbSzatvFmRC9oWA8
Ripa Spaccata,41.552884,14.138914,1394_,Napoli,Molise,IS,Montaquila - Colli a Volturno,Volturno,Di terra con manto (b.3.),14.69,16.18,3.33,236.00,Laminazione,1976,1986,https://goo.gl/maps/DbsQXDk4fpirXDVx6
Monte Melillo,41.094846,15.997882,1421_,Napoli,Puglia,BT,Minervino Murge,Locone,Di terra e/o pietrame con nucleo verticale (b.2.),54.10,66.62,118.48,186.62,Irriguo,1980,1991,https://goo.gl/maps/3HXvmWndgNsfmboj7
Marsico Nuovo,40.427145,15.740079,1430_,Napoli,Basilicata,PZ,Marsico Nuovo,Agri,Di pietrame con manto (b.3.),68.20,71.79,5.36,785.00,Irriguo,1983,1996,https://goo.gl/maps/doUEb3vV8BuXMbyG6
Toppo di Francia,41.051554,15.869179,1443_,Napoli,Basilicata,PZ,Lavello,Lampeggiano,Di pietrame con manto (b.3.),34.00,33.89,4.60,241.55,Irriguo,1988,1992,https://goo.gl/maps/LniwpG5VCuhHmMUP9
Altamura,40.776007,16.504770,1450_,Napoli,Puglia,BA,Altamura,Saglioccia,Di terra e/o pietrame con nucleo verticale (b.2.),20.37,30.00,1.80,383.00,Irriguo,1981,1993,https://goo.gl/maps/jCVb4dX6JWGekZ7B8
Cesima,41.393286,14.046750,1459A,Napoli,Molise,IS,Sesto Campano,Rio Rava,Di pietrame con manto (b.3.),45.39,45.39,6.23,643.00,Idroelettrico,1981,1987,https://goo.gl/maps/eBbfqpe9ezVPRYjG6
Presenzano,41.375175,14.101554,1459B,Napoli,Campania,CE,Presenzano,Rio San Bartolomeo,Di pietrame con manto (b.3.),20.00,20.00,7.18,156.50,Idroelettrico,1981,1987,https://goo.gl/maps/By6oVXipJtCwzbDB8
Genzano,40.843834,16.061875,1467_,Napoli,Basilicata,PZ,Venosa,La Fiumarella,Di terra e/o pietrame con nucleo verticale (b.2.),70.00,82.00,52.39,441.00,Irriguo,1977,1994,https://goo.gl/maps/2JUFggLrz2D7vSZW7
Acerenza,40.771791,15.925093,1469_,Napoli,Basilicata,PZ,Acerenza,Bradano,Di terra e/o pietrame con nucleo verticale (b.2.),55.15,62.50,41.81,454.50,Irriguo,1977,1994,https://goo.gl/maps/NJX3uSA7cu2NDifw9
Torre Bianca,41.434949,15.428675,1476_,Napoli,Puglia,FG,Lucera,Celone,Di terra e/o pietrame con nucleo verticale (b.2.),20.98,24.30,22.39,146.84,Irriguo,1990,1997,https://goo.gl/maps/DDaXmhBWCWJDRqMo7
Arcichiaro,41.416970,14.524661,1536_,Napoli,Molise,CB,Guardiaregia,Quirino,Di pietrame con manto (b.3.),79.26,89.29,11.90,852.00,Irriguo,1984,2001,https://goo.gl/maps/thycemNDhTCwb4FN8
Macchioni,41.035268,15.176676,1546_,Napoli,Campania,AV,Castel Baronia,Macchioni,Di terra con manto (b.3.),31.30,36.00,0.52,463.25,Irriguo,1985,1998,https://goo.gl/maps/G9V73z6HryBrdJdP9
Piano della Rocca,40.315528,15.110762,1559_,Napoli,Campania,SA,Prignano Cilento,Alento,Di terra con manto (b.3.),40.29,43.79,28.50,118.50,Irriguo,1984,1994,https://goo.gl/maps/98Xt7dptHrDMHrj86
Pappadai,40.462657,17.440570,1598_,Napoli,Puglia,TA,Monteparano,Pappadai,Di pietrame con manto (b.3.),24.19,27.00,19.89,108.00,Irriguo,1988,1997,https://goo.gl/maps/S5HxSuGMmHBaiebNA
Piana degli Albanesi,37.963501,13.284877,0086_,Palermo,Sicilia,PA,Piana degli Albanesi,Hone,Di pietrame con manto (b.3.),38.00,48.00,32.75,610.00,Idroelettrico,1921,1923,https://goo.gl/maps/X38dswzBJRuiZmk37
Piano del Leone,37.671270,13.466604,0167_,Palermo,Sicilia,PA,Castronuovo di Sicilia,San Cristoforo,A gravità ordinaria in calcestruzzo (a.1.1.),31.00,34.29,4.15,828.00,Potabile,1927,1933,https://goo.gl/maps/TTFSwMKM666Auc448
Disueri,37.190236,14.286588,0208_,Palermo,Sicilia,CL,Mazzarino,Disueri,Di terra e/o pietrame con nucleo verticale (b.2.),55.60,74.29,23.60,161.00,Irriguo,1981,1997,https://goo.gl/maps/vBkRa3q6RHkZDff87
Gammauta,37.684526,13.349465,0365_,Palermo,Sicilia,PA,Palazzo Adriano,Sosio,A gravità ordinaria in calcestruzzo (a.1.1.),30.10,35.00,0.84,500.00,Idroelettrico,1937,1938,https://goo.gl/maps/9TzHfwxKMUX1ZVDk8
Pozzillo,37.673642,14.609878,0399_,Palermo,Sicilia,EN,Regalbuto,Salso,In blocchi di calcestruzzo (a.1.1.),55.50,59.00,150.50,366.00,Irriguo,1955,1959,https://goo.gl/maps/hE5ybpcFWJ7rUjZv6
Arancio,37.626397,13.064512,0404_,Palermo,Sicilia,AG,Sciacca - Sambuca di Sicilia,Carboi,Ad arco semplice (a.2.2.),42.20,47.00,34.79,179.00,Irriguo,1949,1951,https://goo.gl/maps/CeTmKttDfWW5UHkHA
Prizzi,37.720773,13.405749,0441_,Palermo,Sicilia,PA,Prizzi,Raia,A gravità ordinaria in calcestruzzo (a.1.1.),44.00,49.00,9.25,638.00,Idroelettrico,1940,1942,https://goo.gl/maps/bSYuXfofhy3y56fs8
Fanaco,37.671630,13.553493,0442_,Palermo,Sicilia,PA,Castronuovo di Sicilia,Platani,In blocchi di calcestruzzo (a.1.1.),66.90,70.29,20.69,677.50,Potabile,1951,1956,https://goo.gl/maps/JmkkDTeLKmnXrNsQ6
Ancipa,37.829461,14.575072,0527_,Palermo,Sicilia,EN,Cesaro' - Troina,Troina,A gravità a speroni con vani interni (a.1.2.),104.40,111.90,30.41,949.50,Idroelettrico,1949,1953,https://goo.gl/maps/UCmogcK6JswaBzqQ6
Trinità,37.691360,12.750474,0612_,Palermo,Sicilia,TP,Castelvetrano,Delia,Di terra e/o pietrame con nucleo verticale (b.2.),28.50,28.50,18.00,68.00,Irriguo,1954,1959,https://goo.gl/maps/osmncRe2Q3NfuyFy5
Don Sturzo,37.449153,14.574055,0646_,Palermo,Sicilia,EN,Aidone,Gornalunga,Di terra e/o pietrame con nucleo inclinato (b.2.),48.00,53.60,110.90,211.59,Irriguo,1961,1973,https://goo.gl/maps/hKFzYt8TkFcckhXe8
Nicoletti,37.607978,14.348232,0714_,Palermo,Sicilia,EN,Leonforte,Bozzetta,Di terra e/o pietrame con nucleo verticale (b.2.),38.10,47.10,20.19,384.75,Irriguo,1963,1971,https://goo.gl/maps/3bZMmL2UjeYiGc8cA
Licodia Eubea,37.125280,14.681807,0739_,Palermo,Sicilia,CT,Licodia Eubea,Vizzini e Amerillo,A gravità ordinaria in calcestruzzo (a.1.1.),61.00,66.23,20.10,328.00,Industriale,1961,1962,https://goo.gl/maps/MmoNu47nTdV7QwuB8
Rossella,37.929461,13.369507,0741_,Palermo,Sicilia,PA,Monreale,Rossella,Di terra e/o pietrame con nucleo inclinato (b.2.),30.80,31.19,17.25,525.00,Potabile,1957,1965,https://goo.gl/maps/KG7KMQGA2KnXSFQT8
Scanzano,37.923776,13.372657,0741A,Palermo,Sicilia,PA,Monreale,Scanzano,Di terra e/o pietrame con nucleo inclinato (b.2.),43.79,44.79,17.25,525.00,Potabile,1957,1965,https://goo.gl/maps/u9PeQHd8giFWkfFL9
Poma,37.999043,13.080415,0803_,Palermo,Sicilia,PA,Partinico,Jato,Di terra e/o pietrame con nucleo inclinato (b.2.),49.50,58.60,72.29,195.59,Irriguo,1963,1970,https://goo.gl/maps/orAmEkBnsJQtqf2W8
Guadalami Monte,37.954716,13.279042,0824_,Palermo,Sicilia,PA,Piana degli Albanesi,Hone,Di terra e/o pietrame con nucleo verticale (b.2.),18.85,19.75,1.40,438.50,Idroelettrico,1958,1960,https://goo.gl/maps/QW3pLfCFJahovGvH9
Guadalami Valle,37.950577,13.279329,0824A,Palermo,Sicilia,PA,Piana degli Albanesi,Hone,Di terra e/o pietrame con nucleo verticale (b.2.),28.85,31.00,1.40,438.50,Idroelettrico,1958,1960,https://goo.gl/maps/yuuuNA9mRXpuoXQ98
Comunelli,37.156073,14.154553,0903_,Palermo,Sicilia,CL,Butera,Comunelli,Di terra e/o pietrame con nucleo verticale (b.2.),29.00,35.39,7.80,89.00,Irriguo,1961,1968,https://goo.gl/maps/oeCBrgafNXAMXoMT7
Furore,37.260268,13.721616,1056_,Palermo,Sicilia,AG,Naro,Burraito,Di terra e/o pietrame con nucleo verticale (b.2.),50.53,54.50,7.00,187.00,Irriguo,1977,1997,https://goo.gl/maps/CJZcCHJRjQ4E5nM9A
Rubino,37.883107,12.715339,1057_,Palermo,Sicilia,TP,Trapani,Fastaia,Di terra e/o pietrame con nucleo verticale (b.2.),29.80,31.00,11.50,184.00,Irriguo,1967,1970,https://goo.gl/maps/9ZpyZab7tddPJw7E6
Cuba,37.552286,14.724848,1072_,Palermo,Sicilia,EN,Centuripe,Vallone Cuba,Di terra omogenea (b.1.),16.00,16.50,0.40,150.50,Nessun utilizzo attuale,1963,1964,https://goo.gl/maps/ysdtqn2vqa8wfZPV6
Pasquasia,37.494257,14.181072,1140_,Palermo,Sicilia,EN,Enna,Torcicoda,Di terra omogenea (b.1.),17.00,15.00,0.25,314.50,Nessun utilizzo attuale,1962,1962,https://goo.gl/maps/63XqEKcRyjyd5aZd9
Zaffarana,37.851349,12.623840,1145_,Palermo,Sicilia,TP,Trapani,Zafferana,Di terra omogenea (b.1.),16.89,20.50,0.90,82.59,Irriguo,1974,1978,https://goo.gl/maps/zZZreCKhbXQcW5rR7
San Giovanni,37.309735,13.756738,1146_,Palermo,Sicilia,AG,Naro,Naro,Di terra e/o pietrame con nucleo inclinato (b.2.),33.32,39.75,16.00,305.55,Irriguo,1969,1981,https://goo.gl/maps/Fzqb7bdq5wNCsC6DA
Olivo,37.404601,14.284551,1159_,Palermo,Sicilia,EN,Piazza Armerina,Olivo,Di terra con manto (b.3.),49.50,56.50,15.00,448.30,Irriguo,1976,1982,https://goo.gl/maps/c7yq5DCGVriT7abf7
Santa Rosalia,36.969787,14.772585,1229_,Palermo,Sicilia,RG,Ragusa,Irminio,Di terra e/o pietrame con nucleo verticale (b.2.),53.50,57.10,20.00,378.50,Irriguo,1976,1981,https://goo.gl/maps/u6dqNUN97DM9Saa59
Fiumara Grande,37.232134,15.084590,1235A,Palermo,Sicilia,SR,Melilli,Marcellino,A gravità ordinaria in calcestruzzo (a.1.1.),17.50,20.00,0.16,163.00,Industriale,1970,1970,https://goo.gl/maps/CBHvNBjxMzXD8n4K8
Mulinello,37.243409,15.090400,1235B,Palermo,Sicilia,SR,Melilli,Fiume Mulinello,A gravità ordinaria in calcestruzzo (a.1.1.),16.35,17.35,0.70,153.50,Industriale,1970,1970,https://goo.gl/maps/S43b2UGTDsWR4uTv9
Vasca Ogliastro,37.243716,15.130058,1235C,Palermo,Sicilia,SR,Augusta,(fuori alveo),Di pietrame con manto (b.3.),22.00,23.32,4.31,138.30,Industriale,1968,1970,https://goo.gl/maps/tBM9xRphDNSPkWvJ9
Laghetto Gorgo,37.405498,13.327166,1249_,Palermo,Sicilia,AG,Montallegro,Laghetto Gorgo,Di terra omogenea (b.1.),10.86,13.19,3.40,70.53,Irriguo,1956,1972,https://goo.gl/maps/aC8exPXgPY7PZDKa9
Rosamarina,37.959302,13.651060,1304_,Palermo,Sicilia,PA,Caccamo,San Leonardo,Ad arco gravità (a.2.2.),84.00,93.00,100.00,169.50,Irriguo,1972,1992,https://goo.gl/maps/NTUffHoAyncoJS8A7
Villarosa,37.580447,14.203790,1317_,Palermo,Sicilia,EN,Villarosa,Morello,Di terra e/o pietrame con nucleo verticale (b.2.),34.00,38.00,15.35,392.50,Industriale,1969,1973,https://goo.gl/maps/8kiesCtRUdQ3Ex717
Lentini,37.313479,14.956944,1318_,Palermo,Sicilia,SR,Lentini,Lentini,Di terra con manto (b.3.),24.69,36.00,134.55,31.50,Industriale,1983,1991,https://goo.gl/maps/5tEuVxP8k1XLjif88
